town          crime biglots industry river nox rooms age distance highway tax ptratio black lowstat value 	  
Framingham    .16439 22.0  5.86 0 .4310 6.433 49.1 7.8265  7 330 19.1 374.71  9.5 24.5
Framingham    .19073 22.0  5.86 0 .4310 6.718 17.5 7.8265  7 330 19.1 393.74  6.6 26.2
Framingham    .14030 22.0  5.86 0 .4310 6.487 13.0 7.3967  7 330 19.1 396.28  5.9 24.4
Framingham    .21409 22.0  5.86 0 .4310 6.438  8.9 7.3967  7 330 19.1 377.07  3.6 24.8
Framingham    .08221 22.0  5.86 0 .4310 6.957  6.8 8.9067  7 330 19.1 386.09  3.5 29.6
Framingham    .36894 22.0  5.86 0 .4310 8.259  8.4 8.9067  7 330 19.1 396.90  3.5 42.8
Ashland       .04819 80.0  3.64 0 .3920 6.108 32.0 9.2203  1 315 16.4 392.89  6.6 21.9
Ashland       .03548 80.0  3.64 0 .3920 5.876 19.1 9.2203  1 315 16.4 395.18  9.3 20.9
Sherborn      .01538 90.0  3.75 0 .3940 7.454 34.2 6.3361  3 244 15.9 386.34  3.1 44.0
Brookline     .61154 20.0  3.97 0 .6470 8.704 86.9 1.8010  5 264 13.0 389.70  5.1 50.0
Brookline     .66351 20.0  3.97 0 .6470 7.333  100 1.8946  5 264 13.0 383.29  7.8 36.0
Brookline     .65665 20.0  3.97 0 .6470 6.842  100 2.0107  5 264 13.0 391.93  6.9 30.1
Brookline     .54011 20.0  3.97 0 .6470 7.203 81.8 2.1121  5 264 13.0 392.80  9.6 33.8
Brookline     .53412 20.0  3.97 0 .6470 7.520 89.4 2.1398  5 264 13.0 388.37  7.3 43.1
Brookline     .52014 20.0  3.97 0 .6470 8.398 91.5 2.2885  5 264 13.0 386.86  5.9 48.8
Brookline     .82526 20.0  3.97 0 .6470 7.327 94.5 2.0788  5 264 13.0 393.42 11.3 31.0
Brookline     .55007 20.0  3.97 0 .6470 7.206 91.6 1.9301  5 264 13.0 387.89  8.1 36.5
Brookline     .76162 20.0  3.97 0 .6470 5.560 62.8 1.9865  5 264 13.0 392.40 10.5 22.8
Brookline     .78570 20.0  3.97 0 .6470 7.014 84.6 2.1329  5 264 13.0 384.07 14.8 30.7
Brookline     .57834 20.0  3.97 0 .5750 8.297 67.0 2.4216  5 264 13.0 384.54  7.4 50.0
Brookline     .54050 20.0  3.97 0 .5750 7.470 52.6 2.8720  5 264 13.0 390.30  3.2 43.5
Dedham        .09065 20.0  6.96 1 .4640 5.920 61.5 3.9175  3 223 18.6 391.34 13.7 20.7
Dedham        .29916 20.0  6.96 0 .4640 5.856 42.1 4.4290  3 223 18.6 388.65 13.0 21.1
Dedham        .16211 20.0  6.96 0 .4640 6.240 16.3 4.4290  3 223 18.6 396.90  6.6 25.2
Dedham        .11460 20.0  6.96 0 .4640 6.538 58.7 3.9175  3 223 18.6 394.96  7.7 24.4
Dedham        .22188 20.0  6.96 1 .4640 7.691 51.8 4.3665  3 223 18.6 390.77  6.6 35.2
Needham       .05644 40.0  6.41 1 .4470 6.758 32.9 4.0776  4 254 17.6 396.90  3.5 32.4
Needham       .09604 40.0  6.41 0 .4470 6.854 42.8 4.2673  4 254 17.6 396.90  3.0 32.0
Needham       .10469 40.0  6.41 1 .4470 7.267 49.0 4.7872  4 254 17.6 389.25  6.1 33.2
Needham       .06127 40.0  6.41 1 .4470 6.826 27.6 4.8628  4 254 17.6 393.45  4.2 33.1
Needham       .07978 40.0  6.41 0 .4470 6.482 32.1 4.1403  4 254 17.6 396.90  7.2 29.1
Wellesley     .21038 20.0  3.33 0 .4429 6.812 32.2 4.1007  5 216 14.9 396.90  4.9 35.1
Wellesley     .03578 20.0  3.33 0 .4429 7.820 64.5 4.6947  5 216 14.9 387.31  3.8 45.4
Wellesley     .03705 20.0  3.33 0 .4429 6.968 37.2 5.2447  5 216 14.9 392.23  4.6 35.4
Wellesley     .06129 20.0  3.33 1 .4429 7.645 49.7 5.2119  5 216 14.9 377.07  3.0 46.0
Dover         .01501 90.0  1.21 1 .4010 7.923 24.8 5.8850  1 198 13.6 395.52  3.2 50.0
Medfield      .00906 90.0  2.97 0 .4000 7.088 20.8 7.3073  1 285 15.3 394.72  7.9 32.2
Millis        .01096 55.0  2.25 0 .3890 6.453 31.9 7.3073  1 300 15.3 394.72  8.2 22.0
Norfolk       .01965 80.0  1.76 0 .3850 6.230 31.5 9.0892  1 241 18.2 341.60 12.9 20.1
Walpole       .03871 52.5  5.32 0 .4050 6.209 31.3 7.3172  6 293 16.6 396.90  7.1 23.2
Walpole       .04590 52.5  5.32 0 .4050 6.315 45.6 7.3172  6 293 16.6 396.90  7.6 22.3
Walpole       .04297 52.5  5.32 0 .4050 6.565 22.9 7.3172  6 293 16.6 371.72  9.5 24.8
Westwood      .03502 80.0  4.95 0 .4110 6.861 27.9 5.1167  4 245 19.2 396.90  3.3 28.5
Westwood      .07886 80.0  4.95 0 .4110 7.148 27.7 5.1167  4 245 19.2 396.90  3.6 37.3
Westwood      .03615 80.0  4.95 0 .4110 6.630 23.4 5.1167  4 245 19.2 396.90  4.7 27.9
Norwood       .08265  0.0 13.92 0 .4370 6.127 18.4 5.5027  4 289 16.0 396.90  8.6 23.9
Norwood       .08199  0.0 13.92 0 .4370 6.009 42.3 5.5027  4 289 16.0 396.90 10.4 21.7
Norwood       .12932  0.0 13.92 0 .4370 6.678 31.1 5.9604  4 289 16.0 396.90  6.3 28.6
Norwood       .05372  0.0 13.92 0 .4370 6.549 51.0 5.9604  4 289 16.0 392.85  7.4 27.1
Norwood       .14103  0.0 13.92 0 .4370 5.790 58.0 6.3200  4 289 16.0 396.90 15.8 20.3
Sharon        .06466 70.0  2.24 0 .4000 6.345 20.1 7.8278  5 358 14.8 368.24  5.0 22.5
Sharon        .05561 70.0  2.24 0 .4000 7.041 10.0 7.8278  5 358 14.8 371.58  4.7 29.0
Sharon        .04417 70.0  2.24 0 .4000 6.871 47.4 7.8278  5 358 14.8 390.86  6.1 24.8
Canton        .03537 34.0  6.09 0 .4330 6.590 40.4 5.4917  7 329 16.1 395.75  9.5 22.0
Canton        .09266 34.0  6.09 0 .4330 6.495 18.4 5.4917  7 329 16.1 383.61  8.7 26.4
Canton        .10000 34.0  6.09 0 .4330 6.982 17.7 5.4917  7 329 16.1 390.43  4.9 33.1
Milton        .05515 33.0  2.18 0 .4720 7.236 41.1 4.0220  7 222 18.4 393.68  6.9 36.1
Milton        .05479 33.0  2.18 0 .4720 6.616 58.1 3.3700  7 222 18.4 393.36  8.9 28.4
Milton        .07503 33.0  2.18 0 .4720 7.420 71.9 3.0992  7 222 18.4 396.90  6.5 33.4
Milton        .04932 33.0  2.18 0 .4720 6.849 70.3 3.1827  7 222 18.4 396.90  7.5 28.2
Quincy        .49298  0.0  9.90 0 .5440 6.635 82.5 3.3175  4 304 18.4 396.90  4.5 22.8
Quincy        .34940  0.0  9.90 0 .5440 5.972 76.7 3.1025  4 304 18.4 396.24 10.0 20.3
Quincy        2.6355  0.0  9.90 0 .5440 4.973 37.8 2.5194  4 304 18.4 350.45 12.6 16.1
Quincy        .79041  0.0  9.90 0 .5440 6.122 52.8 2.6403  4 304 18.4 396.90  6.0 22.1
Quincy        .26169  0.0  9.90 0 .5440 6.023 90.4 2.8340  4 304 18.4 396.30 11.7 19.4
Quincy        .26938  0.0  9.90 0 .5440 6.266 82.8 3.2628  4 304 18.4 393.39  7.9 21.6
Quincy        .36920  0.0  9.90 0 .5440 6.567 87.3 3.6023  4 304 18.4 395.69  9.3 23.8
Quincy        .25356  0.0  9.90 0 .5440 5.705 77.7 3.9450  4 304 18.4 396.42 11.5 16.2
Quincy        .31827  0.0  9.90 0 .5440 5.914 83.2 3.9986  4 304 18.4 390.70 18.3 17.8
Quincy        .24522  0.0  9.90 0 .5440 5.782 71.7 4.0317  4 304 18.4 396.90 15.9 19.8
Quincy        .40202  0.0  9.90 0 .5440 6.382 67.2 3.5325  4 304 18.4 395.21 10.4 23.1
Quincy        .47547  0.0  9.90 0 .5440 6.113 58.8 4.0019  4 304 18.4 396.23 12.7 21.0
Braintree     .16760  0.0  7.38 0 .4930 6.426 52.3 4.5404  5 287 19.6 396.90  7.2 23.8
Braintree     .18159  0.0  7.38 0 .4930 6.376 54.3 4.5404  5 287 19.6 396.90  6.9 23.1
Braintree     .35114  0.0  7.38 0 .4930 6.041 49.9 4.7211  5 287 19.6 396.90  7.7 20.4
Braintree     .28392  0.0  7.38 0 .4930 5.708 74.3 4.7211  5 287 19.6 391.13 11.7 18.5
Braintree     .34109  0.0  7.38 0 .4930 6.415 40.1 4.7211  5 287 19.6 396.90  6.1 25.0
Braintree     .19186  0.0  7.38 0 .4930 6.431 14.7 5.4159  5 287 19.6 393.68  5.1 24.6
Braintree     .30347  0.0  7.38 0 .4930 6.312 28.9 5.4159  5 287 19.6 396.90  6.2 23.0
Braintree     .24103  0.0  7.38 0 .4930 6.083 43.7 5.4159  5 287 19.6 396.90 12.8 22.2
Randolph      .06617  0.0  3.24 0 .4600 5.868 25.8 5.2146  4 430 16.9 382.44 10.0 19.3
Randolph      .06724  0.0  3.24 0 .4600 6.333 17.2 5.2146  4 430 16.9 375.21  7.3 22.6
Randolph      .04544  0.0  3.24 0 .4600 6.144 32.2 5.8736  4 430 16.9 368.57  9.1 19.8
Holbrook      .05023 35.0  6.06 0 .4379 5.706 28.4 6.6407  1 304 16.9 394.02 12.4 17.1
Holbrook      .03466 35.0  6.06 0 .4379 6.031 23.3 6.6407  1 304 16.9 362.25  7.8 19.4
Weymouth      .05083  0.0  5.19 0 .5150 6.316 38.1 6.4584  5 224 20.2 389.71  5.7 22.2
Weymouth      .03738  0.0  5.19 0 .5150 6.310 38.5 6.4584  5 224 20.2 389.40  6.8 20.7
Weymouth      .03961  0.0  5.19 0 .5150 6.037 34.5 5.9853  5 224 20.2 396.90  8.0 21.1
Weymouth      .03427  0.0  5.19 0 .5150 5.869 46.3 5.2311  5 224 20.2 396.90  9.8 19.5
Weymouth      .03041  0.0  5.19 0 .5150 5.895 59.6 5.6150  5 224 20.2 394.81 10.6 18.5
Weymouth      .03306  0.0  5.19 0 .5150 6.059 37.3 4.8122  5 224 20.2 396.14  8.5 20.6
Weymouth      .05497  0.0  5.19 0 .5150 5.985 45.4 4.8122  5 224 20.2 396.90  9.7 19.0
Weymouth      .06151  0.0  5.19 0 .5150 5.968 58.5 4.8122  5 224 20.2 396.90  9.3 18.7
Cohasset      .01301 35.0  1.52 0 .4420 7.241 49.3 7.0379  1 284 15.5 394.74  5.5 32.7
Hull          .02498  0.0  1.89 0 .5180 6.540 59.7 6.2669  1 422 15.9 389.96  8.7 16.5
Hingham       .02543 55.0  3.78 0 .4840 6.696 56.4 5.7321  5 370 17.6 396.90  7.2 23.9
Hingham       .03049 55.0  3.78 0 .4840 6.874 28.1 6.4654  5 370 17.6 387.97  4.6 31.2
Rockland      .03113  0.0  4.39 0 .4420 6.014 48.5 8.0136  3 352 18.8 385.64 10.5 17.5
Rockland      .06162  0.0  4.39 0 .4420 5.898 52.3 8.0136  3 352 18.8 364.61 12.7 17.2
Hanover       .01870 85.0  4.15 0 .4290 6.516 27.7 8.5353  4 351 17.9 392.43  6.4 23.1
Norwell       .01501 80.0  2.01 0 .4350 6.635 29.7 8.3440  4 280 17.0 390.94  6.0 24.5
Scituate      .02899 40.0  1.25 0 .4290 6.939 34.5 8.7921  1 335 19.7 389.85  5.9 26.6
Scituate      .06211 40.0  1.25 0 .4290 6.490 44.4 8.7921  1 335 19.7 396.90  6.0 22.9
Marshfield    .07950 60.0  1.69 0 .4110 6.579 35.9 10.710  4 411 18.3 370.78  5.5 24.1
Marshfield    .07244 60.0  1.69 0 .4110 5.884 18.5 10.710  4 411 18.3 392.33  7.8 18.6
Duxbury       .01709 90.0  2.02 0 .4100 6.728 36.1 12.127  5 187 17.0 384.46  4.5 30.1
Pembroke      .04301 80.0  1.91 0 .4130 5.663 21.9 10.586  4 334 22.0 382.80  8.1 18.2
Pembroke      .10659 80.0  1.91 0 .4130 5.936 19.5 10.586  4 334 22.0 376.04  5.6 20.6
Brighton      8.9830  0.0 18.10 1 .7700 6.212 97.4 2.1222 24 666 20.2 377.73 17.6 17.8
Brighton      3.8497  0.0 18.10 1 .7700 6.395 91.0 2.5052 24 666 20.2 391.34 13.3 21.7
Brighton      5.2018  0.0 18.10 1 .7700 6.127 83.4 2.7227 24 666 20.2 395.43 11.5 22.7
Brighton      4.2613  0.0 18.10 0 .7700 6.112 81.3 2.5091 24 666 20.2 390.74 12.7 22.6
Brighton      4.5419  0.0 18.10 0 .7700 6.398 88.0 2.5182 24 666 20.2 374.56  7.8 25.0
Brighton      3.8368  0.0 18.10 0 .7700 6.251 91.1 2.2955 24 666 20.2 350.65 14.2 19.9
Brighton      3.6782  0.0 18.10 0 .7700 5.362 96.2 2.1036 24 666 20.2 380.79 10.2 20.8
Brighton      4.2224  0.0 18.10 1 .7700 5.803 89.0 1.9047 24 666 20.2 353.04 14.6 16.8
Back-Bay      3.4743  0.0 18.10 1 .7180 8.780 82.9 1.9047 24 666 20.2 354.55  5.3 21.9
Back-Bay      4.5559  0.0 18.10 0 .7180 3.561 87.9 1.6132 24 666 20.2 354.70  7.1 27.5
Back-Bay      3.6970  0.0 18.10 0 .7180 4.963 91.4 1.7523 24 666 20.2 316.03 14.0 21.9
Back-Bay      13.522  0.0 18.10 0 .6310 3.863  100 1.5106 24 666 20.2 131.42 13.3 23.1
Back-Bay      4.8982  0.0 18.10 0 .6310 4.970  100 1.3325 24 666 20.2 375.52  3.3 50.0
Back-Bay      5.6700  0.0 18.10 1 .6310 6.683 96.8 1.3567 24 666 20.2 375.33  3.7 50.0
Beacon-Hill   6.5388  0.0 18.10 1 .6310 7.016 97.5 1.2024 24 666 20.2 392.05  3.0 50.0
Beacon-Hill   9.2323  0.0 18.10 0 .6310 6.216  100 1.1691 24 666 20.2 366.15  9.5 50.0
Beacon-Hill   8.2673  0.0 18.10 1 .6680 5.875 89.6 1.1296 24 666 20.2 347.88  8.9 50.0
North-End     11.108  0.0 18.10 0 .6680 4.906  100 1.1742 24 666 20.2 396.90 34.8 13.8
North-End     18.498  0.0 18.10 0 .6680 4.138  100 1.1370 24 666 20.2 396.90 38.0 13.8
Charlestown   19.609  0.0 18.10 0 .6710 7.313 97.9 1.3163 24 666 20.2 396.90 13.4 15.0
Charlestown   15.288  0.0 18.10 0 .6710 6.649 93.3 1.3449 24 666 20.2 363.02 23.2 13.9
Charlestown   9.8235  0.0 18.10 0 .6710 6.794 98.8 1.3580 24 666 20.2 396.90 21.2 13.3
Charlestown   23.648  0.0 18.10 0 .6710 6.380 96.2 1.3861 24 666 20.2 396.90 23.7 13.1
Charlestown   17.867  0.0 18.10 0 .6710 6.223  100 1.3861 24 666 20.2 393.74 21.8 10.2
Charlestown   88.976  0.0 18.10 0 .6710 6.968 91.9 1.4165 24 666 20.2 396.90 17.2 10.4
Charlestown   15.874  0.0 18.10 0 .6710 6.545 99.1 1.5192 24 666 20.2 396.90 21.1 10.9
East-Boston   9.1870  0.0 18.10 0 .7000 5.536  100 1.5804 24 666 20.2 396.90 23.6 11.3
East-Boston   7.9925  0.0 18.10 0 .7000 5.520  100 1.5331 24 666 20.2 396.90 24.6 12.3
East-Boston   20.085  0.0 18.10 0 .7000 4.368 91.2 1.4395 24 666 20.2 285.83 30.6  8.8
East-Boston   16.812  0.0 18.10 0 .7000 5.277 98.1 1.4261 24 666 20.2 396.90 30.8  7.2
East-Boston   24.394  0.0 18.10 0 .7000 4.652  100 1.4672 24 666 20.2 396.90 28.3 10.5
East-Boston   22.597  0.0 18.10 0 .7000 5.000 89.5 1.5184 24 666 20.2 396.90 32.0  7.4
East-Boston   14.334  0.0 18.10 0 .7000 4.880  100 1.5895 24 666 20.2 372.92 30.6 10.2
East-Boston   8.1517  0.0 18.10 0 .7000 5.390 98.9 1.7281 24 666 20.2 396.90 20.9 11.5
East-Boston   6.9622  0.0 18.10 0 .7000 5.713 97.0 1.9265 24 666 20.2 394.43 17.1 15.1
East-Boston   5.2931  0.0 18.10 0 .7000 6.051 82.5 2.1678 24 666 20.2 378.38 18.8 23.2
East-Boston   11.578  0.0 18.10 0 .7000 5.036 97.0 1.7700 24 666 20.2 396.90 25.7  9.7
South-Boston  8.6448  0.0 18.10 0 .6930 6.193 92.6 1.7912 24 666 20.2 396.90 15.2 13.8
South-Boston  13.360  0.0 18.10 0 .6930 5.887 94.7 1.7821 24 666 20.2 396.90 16.4 12.7
South-Boston  8.7168  0.0 18.10 0 .6930 6.471 98.8 1.7257 24 666 20.2 391.98 17.1 13.1
South-Boston  5.8721  0.0 18.10 0 .6930 6.405 96.0 1.6768 24 666 20.2 396.90 19.4 12.5
South-Boston  7.6720  0.0 18.10 0 .6930 5.747 98.9 1.6334 24 666 20.2 393.10 19.9  8.5
South-Boston  38.352  0.0 18.10 0 .6930 5.453  100 1.4896 24 666 20.2 396.90 30.6  5.0
South-Boston  9.9166  0.0 18.10 0 .6930 5.852 77.8 1.5004 24 666 20.2 338.16 30.0  6.3
South-Boston  25.046  0.0 18.10 0 .6930 5.987  100 1.5888 24 666 20.2 396.90 26.8  5.6
South-Boston  14.236  0.0 18.10 0 .6930 6.343  100 1.5741 24 666 20.2 396.90 20.3  7.2
South-Boston  9.5957  0.0 18.10 0 .6930 6.404  100 1.6390 24 666 20.2 376.11 20.3 12.1
South-Boston  24.802  0.0 18.10 0 .6930 5.349 96.0 1.7028 24 666 20.2 396.90 19.8  8.3
South-Boston  41.529  0.0 18.10 0 .6930 5.531 85.4 1.6074 24 666 20.2 329.46 27.4  8.5
South-Boston  67.921  0.0 18.10 0 .6930 5.683  100 1.4254 24 666 20.2 384.97 23.0  5.0
South-Bay     20.716  0.0 18.10 0 .6590 4.138  100 1.1781 24 666 20.2 370.22 23.3 11.9
South-Bay     11.951  0.0 18.10 0 .6590 5.608  100 1.2852 24 666 20.2 332.09 12.1 27.9
South-Bay     7.4039  0.0 18.10 0 .5970 5.617 97.9 1.4547 24 666 20.2 314.64 26.4 17.2
South-Bay     14.438  0.0 18.10 0 .5970 6.852  100 1.4655 24 666 20.2 179.36 19.8 27.5
South-Bay     51.136  0.0 18.10 0 .5970 5.757  100 1.4130 24 666 20.2   2.60 10.1 15.0
South-Bay     14.051  0.0 18.10 0 .5970 6.657  100 1.5275 24 666 20.2  35.05 21.2 17.2
South-Bay     18.811  0.0 18.10 0 .5970 4.628  100 1.5539 24 666 20.2  28.79 34.4 17.9
South-Bay     28.656  0.0 18.10 0 .5970 5.155  100 1.5894 24 666 20.2 210.97 20.1 16.3
Roxbury       45.746  0.0 18.10 0 .6930 4.519  100 1.6582 24 666 20.2  88.27 37.0  7.0
Roxbury       18.085  0.0 18.10 0 .6790 6.434  100 1.8347 24 666 20.2  27.25 29.1  7.2
Roxbury       10.834  0.0 18.10 0 .6790 6.782 90.8 1.8195 24 666 20.2  21.57 25.8  7.5
Roxbury       25.941  0.0 18.10 0 .6790 5.304 89.1 1.6475 24 666 20.2 127.36 26.6 10.4
Roxbury       73.534  0.0 18.10 0 .6790 5.957  100 1.8026 24 666 20.2  16.45 20.6  8.8
Roxbury       11.812  0.0 18.10 0 .7180 6.824 76.5 1.7940 24 666 20.2  48.45 22.7  8.4
Roxbury       11.087  0.0 18.10 0 .7180 6.411  100 1.8589 24 666 20.2 318.75 15.0 16.7
Roxbury       7.0226  0.0 18.10 0 .7180 6.006 95.3 1.8746 24 666 20.2 319.98 15.7 14.2
Roxbury       12.048  0.0 18.10 0 .6140 5.648 87.6 1.9512 24 666 20.2 291.55 14.1 20.8
Roxbury       7.0504  0.0 18.10 0 .6140 6.103 85.1 2.0218 24 666 20.2   2.52 23.3 13.4
Roxbury       8.7921  0.0 18.10 0 .5840 5.565 70.6 2.0635 24 666 20.2   3.65 17.2 11.7
Roxbury       15.860  0.0 18.10 0 .6790 5.896 95.4 1.9096 24 666 20.2   7.68 24.4  8.3
Roxbury       12.247  0.0 18.10 0 .5840 5.837 59.7 1.9976 24 666 20.2  24.65 15.7 10.2
Roxbury       37.662  0.0 18.10 0 .6790 6.202 78.7 1.8629 24 666 20.2  18.82 14.5 10.9
Roxbury       7.3671  0.0 18.10 0 .6790 6.193 78.1 1.9356 24 666 20.2  96.73 21.5 11.0
Roxbury       9.3389  0.0 18.10 0 .6790 6.380 95.6 1.9682 24 666 20.2  60.72 24.1  9.5
Roxbury       8.4921  0.0 18.10 0 .5840 6.348 86.1 2.0527 24 666 20.2  83.45 17.6 14.5
Roxbury       10.062  0.0 18.10 0 .5840 6.833 94.3 2.0882 24 666 20.2  81.33 19.7 14.1
Roxbury       6.4441  0.0 18.10 0 .5840 6.425 74.8 2.2004 24 666 20.2  97.95 12.0 16.1
Savin-Hill    5.5811  0.0 18.10 0 .7130 6.436 87.9 2.3158 24 666 20.2 100.19 16.2 14.3
Savin-Hill    13.913  0.0 18.10 0 .7130 6.208 95.0 2.2222 24 666 20.2 100.63 15.2 11.7
Savin-Hill    11.160  0.0 18.10 0 .7400 6.629 94.6 2.1247 24 666 20.2 109.85 23.3 13.4
Savin-Hill    14.421  0.0 18.10 0 .7400 6.461 93.3 2.0026 24 666 20.2  27.49 18.1  9.6
Savin-Hill    15.177  0.0 18.10 0 .7400 6.152  100 1.9142 24 666 20.2   9.32 26.5  8.7
Savin-Hill    13.678  0.0 18.10 0 .7400 5.935 87.9 1.8206 24 666 20.2  68.95 34.0  8.4
Savin-Hill    9.3906  0.0 18.10 0 .7400 5.627 93.9 1.8172 24 666 20.2 396.90 22.9 12.8
Savin-Hill    22.051  0.0 18.10 0 .7400 5.818 92.4 1.8662 24 666 20.2 391.45 22.1 10.5
Savin-Hill    9.7242  0.0 18.10 0 .7400 6.406 97.2 2.0651 24 666 20.2 385.96 19.5 17.1
Savin-Hill    5.6664  0.0 18.10 0 .7400 6.219  100 2.0048 24 666 20.2 395.69 16.6 18.4
Savin-Hill    9.9665  0.0 18.10 0 .7400 6.485  100 1.9784 24 666 20.2 386.73 18.9 15.4
Savin-Hill    12.802  0.0 18.10 0 .7400 5.854 96.6 1.8956 24 666 20.2 240.52 23.8 10.8
Savin-Hill    10.672  0.0 18.10 0 .7400 6.459 94.8 1.9879 24 666 20.2  43.06 24.0 11.8
Savin-Hill    6.2881  0.0 18.10 0 .7400 6.341 96.4 2.0720 24 666 20.2 318.01 17.8 14.9
Savin-Hill    9.9249  0.0 18.10 0 .7400 6.251 96.6 2.1980 24 666 20.2 388.52 16.4 12.6
Savin-Hill    9.3291  0.0 18.10 0 .7130 6.185 98.7 2.2616 24 666 20.2 396.90 18.1 14.1
Savin-Hill    7.5260  0.0 18.10 0 .7130 6.417 98.3 2.1850 24 666 20.2 304.21 19.3 13.0
Savin-Hill    6.7177  0.0 18.10 0 .7130 6.749 92.6 2.3236 24 666 20.2   0.32 17.4 13.4
Savin-Hill    5.4411  0.0 18.10 0 .7130 6.655 98.2 2.3552 24 666 20.2 355.29 17.7 15.2
Savin-Hill    5.0902  0.0 18.10 0 .7130 6.297 91.8 2.3682 24 666 20.2 385.09 17.3 16.1
Savin-Hill    8.2481  0.0 18.10 0 .7130 7.393 99.3 2.4527 24 666 20.2 375.87 16.7 17.8
Savin-Hill    9.5136  0.0 18.10 0 .7130 6.728 94.1 2.4961 24 666 20.2   6.68 18.7 14.9
Savin-Hill    4.7524  0.0 18.10 0 .7130 6.525 86.5 2.4358 24 666 20.2  50.92 18.1 14.1
Dorchester    4.6688  0.0 18.10 0 .7130 5.976 87.9 2.5806 24 666 20.2  10.48 19.0 12.7
Dorchester    8.2006  0.0 18.10 0 .7130 5.936 80.3 2.7792 24 666 20.2   3.50 16.9 13.5
Dorchester    7.7522  0.0 18.10 0 .7130 6.301 83.7 2.7831 24 666 20.2 272.21 16.2 14.9
Dorchester    6.8012  0.0 18.10 0 .7130 6.081 84.4 2.7175 24 666 20.2 396.90 14.7 20.0
Dorchester    4.8121  0.0 18.10 0 .7130 6.701 90.0 2.5975 24 666 20.2 255.23 16.4 16.4
Dorchester    3.6931  0.0 18.10 0 .7130 6.376 88.4 2.5671 24 666 20.2 391.43 14.7 17.7
Dorchester    6.6549  0.0 18.10 0 .7130 6.317 83.0 2.7344 24 666 20.2 396.90 14.0 19.5
Dorchester    5.8212  0.0 18.10 0 .7130 6.513 89.9 2.8016 24 666 20.2 393.82 10.3 20.2
Dorchester    7.8393  0.0 18.10 0 .6550 6.209 65.4 2.9634 24 666 20.2 396.90 13.2 21.4
Dorchester    3.1636  0.0 18.10 0 .6550 5.759 48.2 3.0665 24 666 20.2 334.40 14.1 19.9
Dorchester    3.7750  0.0 18.10 0 .6550 5.952 84.7 2.8715 24 666 20.2  22.01 17.2 19.0
Mattapan      4.4223  0.0 18.10 0 .5840 6.003 94.5 2.5403 24 666 20.2 331.29 21.3 19.1
Mattapan      15.576  0.0 18.10 0 .5800 5.926 71.0 2.9084 24 666 20.2 368.74 18.1 19.1
Mattapan      13.075  0.0 18.10 0 .5800 5.713 56.7 2.8237 24 666 20.2 396.90 14.8 20.1
Mattapan      4.3488  0.0 18.10 0 .5800 6.167 84.0 3.0334 24 666 20.2 396.90 16.3 19.9
Mattapan      4.0384  0.0 18.10 0 .5320 6.229 90.7 3.0993 24 666 20.2 395.33 12.9 19.6
Mattapan      3.5687  0.0 18.10 0 .5800 6.437 75.0 2.8965 24 666 20.2 393.37 14.4 23.2
Forest-Hills  4.6469  0.0 18.10 0 .6140 6.980 67.6 2.5329 24 666 20.2 374.68 11.7 29.8
Forest-Hills  8.0558  0.0 18.10 0 .5840 5.427 95.4 2.4298 24 666 20.2 352.58 18.1 13.8
Forest-Hills  6.3931  0.0 18.10 0 .5840 6.162 97.4 2.2060 24 666 20.2 302.76 24.1 13.3
Forest-Hills  4.8714  0.0 18.10 0 .6140 6.484 93.6 2.3053 24 666 20.2 396.21 18.7 16.7
Forest-Hills  15.023  0.0 18.10 0 .6140 5.304 97.3 2.1007 24 666 20.2 349.48 24.9 12.0
Forest-Hills  10.233  0.0 18.10 0 .6140 6.185 96.7 2.1705 24 666 20.2 379.70 18.0 14.6
Forest-Hills  14.334  0.0 18.10 0 .6140 6.229 88.0 1.9512 24 666 20.2 383.32 13.1 21.4
West-Roxbury  5.8240  0.0 18.10 0 .5320 6.242 64.7 3.4242 24 666 20.2 396.90 10.7 23.0
West-Roxbury  5.7082  0.0 18.10 0 .5320 6.750 74.9 3.3317 24 666 20.2 393.07  7.7 23.7
West-Roxbury  5.7312  0.0 18.10 0 .5320 7.061 77.0 3.4106 24 666 20.2 395.28  7.0 25.0
West-Roxbury  2.8184  0.0 18.10 0 .5320 5.762 40.3 4.0983 24 666 20.2 392.92 10.4 21.8
Hyde-Park     2.3786  0.0 18.10 0 .5830 5.871 41.9 3.7240 24 666 20.2 370.73 13.3 20.6
Hyde-Park     3.6737  0.0 18.10 0 .5830 6.312 51.9 3.9917 24 666 20.2 388.62 10.6 21.2
Hyde-Park     5.6918  0.0 18.10 0 .5830 6.114 79.8 3.5459 24 666 20.2 392.68 15.0 19.1
Hyde-Park     4.8357  0.0 18.10 0 .5830 5.905 53.2 3.1523 24 666 20.2 388.22 11.5 20.6
Chelsea       .15086  0.0 27.74 0 .6090 5.454 92.7 1.8209  4 711 20.1 395.09 18.1 15.2
Chelsea       .18337  0.0 27.74 0 .6090 5.414 98.3 1.7554  4 711 20.1 344.05 24.0  7.0
Chelsea       .20746  0.0 27.74 0 .6090 5.093 98.0 1.8226  4 711 20.1 318.43 29.7  8.1
Chelsea       .10574  0.0 27.74 0 .6090 5.983 98.8 1.8681  4 711 20.1 390.11 18.1 13.6
Chelsea       .11132  0.0 27.74 0 .6090 5.983 83.5 2.1099  4 711 20.1 396.90 13.4 20.1
